finalgrade,userid
0.00000,4
7.49561,5
5.97328,6
7.20316,7
7.82913,8
8.30100,9
4.69217,10
6.92563,11
6.00020,12
1.63510,13
7.20803,14
7.56594,15
5.15067,16
8.00944,17
5.98637,18
5.72447,19
8.55610,20
6.28778,21
6.73118,22
6.70725,23
6.43736,24
5.89080,25
1.97337,26
5.79059,27
7.06675,28
7.99681,29
7.20626,30
8.73811,31
7.90129,32
7.81028,33
7.91208,35
9.38853,36
8.37842,37
9.42993,38
9.13767,41
9.40318,42
8.68312,43
8.26805,44
8.34815,45
8.11445,46
6.99860,47
8.70048,48
7.34234,49
7.27889,50
9.20781,51
6.17825,52
8.85784,53
7.02075,54
8.64453,55
8.94192,56
8.89657,57
5.73428,58
7.56840,59
8.22998,60
8.29871,61
7.36157,62
7.16786,63
8.35031,64
9.13647,65
7.94763,66
9.22065,67
8.39830,68
8.91126,69
7.08929,70
9.04258,71
9.55106,72
8.37930,73
7.42421,74
8.64175,75
8.48483,76
9.49739,77
9.11188,78
9.53177,79
9.33571,80
5.94968,81
6.02045,82
0.16667,83
7.43644,84
8.36122,85
7.48176,86
8.67771,87
7.00669,88
7.13741,89
5.90995,90
7.75302,91
5.60835,92
7.22302,93
7.88417,94
7.02216,95
8.07647,96
3.97417,97
8.69234,98
6.47679,99
7.47207,100
3.41905,101
3.80338,102
NULL,103
